size,precio_area / distrito,parking,codigo_tipo,piscina,total_rooms,price
122.0,10.777777777777779,1,3,0,7,1100.0
150.0,13.583710407239819,0,2,0,6,1800.0
109.0,11.588235294117647,1,5,1,4,1500.0
143.0,6.217391304347826,0,7,1,6,700.0
55.0,10.666666666666666,1,2,1,2,700.0
80.0,8.5,1,2,0,4,650.0
90.0,13.694444444444445,0,2,0,5,1000.0
137.0,9.333333333333334,1,7,1,5,750.0
55.0,13.694444444444445,1,2,1,2,900.0
65.0,10.954545454545455,0,2,0,3,650.0
85.0,10.954545454545455,0,2,0,4,850.0
80.0,10.666666666666666,0,5,1,4,835.0
50.0,13.694444444444445,1,2,1,2,900.0
73.0,13.583710407239819,0,2,0,2,750.0
94.0,8.0,0,2,0,4,700.0
60.0,13.694444444444445,1,2,1,2,900.0
112.0,10.954545454545455,1,2,0,5,1600.0
65.0,8.727272727272727,0,2,0,2,490.0
90.0,10.666666666666666,0,2,0,3,750.0
122.0,11.588235294117647,1,2,0,5,1290.0
66.0,12.310344827586206,1,2,0,3,1200.0
74.0,12.310344827586206,0,2,0,2,1025.0
80.0,6.217391304347826,0,7,0,4,650.0
90.0,9.947368421052632,1,2,0,4,800.0
108.0,6.5,1,2,0,6,650.0
75.0,12.945652173913043,0,2,0,4,970.0
95.0,10.666666666666666,0,2,1,4,950.0
50.0,13.583710407239819,0,2,0,3,600.0
121.0,13.583710407239819,0,2,0,4,1350.0
92.0,11.035087719298245,0,2,0,4,1200.0
51.0,13.583710407239819,0,2,0,2,700.0
140.0,5.666666666666667,1,7,0,4,650.0
85.0,12.945652173913043,0,2,0,3,1000.0
80.0,13.583710407239819,0,2,0,3,1000.0
113.0,7.0,1,3,0,5,850.0
84.0,6.217391304347826,1,2,0,5,500.0
70.0,13.583710407239819,0,2,0,4,1500.0
90.0,11.588235294117647,0,2,0,3,900.0
65.0,13.694444444444445,1,2,1,2,900.0
138.0,11.0,0,3,0,7,1500.0
132.0,13.583710407239819,0,2,0,6,1100.0
110.0,13.694444444444445,0,2,0,6,1000.0
80.0,10.666666666666666,1,5,1,4,895.0
75.0,13.583710407239819,0,2,0,3,1150.0
212.0,8.833333333333334,1,7,1,8,1600.0
100.0,13.583710407239819,0,2,0,3,950.0
50.0,12.222222222222221,1,2,1,2,650.0
77.0,10.954545454545455,0,2,0,5,900.0
65.0,12.222222222222221,1,2,1,2,680.0
122.0,11.035087719298245,0,2,0,5,1200.0
106.0,11.035087719298245,0,2,0,5,940.0
85.0,12.945652173913043,0,2,0,5,1000.0
60.0,11.035087719298245,0,2,0,4,850.0
130.0,8.666666666666666,1,3,1,6,1150.0
95.0,9.947368421052632,0,2,0,4,850.0
60.0,11.588235294117647,0,2,0,3,785.0
150.0,13.583710407239819,1,2,0,7,1650.0
106.0,9.11111111111111,1,2,1,5,826.0
77.0,9.0,0,2,0,3,550.0
55.0,13.583710407239819,0,2,0,2,850.0
73.0,13.694444444444445,0,2,0,2,800.0
163.0,13.694444444444445,1,2,0,8,1600.0
62.0,6.217391304347826,0,2,0,2,550.0
69.0,12.945652173913043,0,2,0,3,1200.0
127.0,7.75,1,2,1,5,800.0
50.0,10.666666666666666,0,2,0,2,800.0
130.0,13.583710407239819,0,2,0,6,1250.0
121.0,13.583710407239819,0,2,0,6,1250.0
75.0,13.583710407239819,0,2,0,3,790.0
91.0,11.035087719298245,0,2,0,4,950.0
60.0,13.583710407239819,0,2,0,2,700.0
90.0,6.5,1,6,0,7,700.0
100.0,13.583710407239819,0,2,0,4,1100.0
69.0,12.945652173913043,0,2,0,3,900.0
72.0,9.11111111111111,0,2,0,3,600.0
124.0,9.947368421052632,1,5,1,6,1300.0
400.0,12.142857142857142,1,7,1,8,4000.0
70.0,10.954545454545455,0,2,0,3,750.0
96.0,9.285714285714286,0,2,0,5,950.0
80.0,10.666666666666666,0,2,1,4,820.0
54.0,13.583710407239819,0,4,0,1,1100.0
73.0,13.583710407239819,0,4,0,3,1050.0
140.0,13.694444444444445,0,2,0,5,1600.0
155.0,13.583710407239819,0,4,0,7,2000.0
70.0,12.945652173913043,0,2,0,3,820.0
133.0,13.583710407239819,0,2,0,7,2000.0
90.0,13.583710407239819,0,2,0,4,850.0
83.0,11.588235294117647,0,2,0,3,800.0
100.0,13.583710407239819,0,2,0,5,1500.0
103.0,11.588235294117647,0,5,1,4,1350.0
120.0,12.945652173913043,0,2,0,5,1400.0
170.0,13.694444444444445,1,2,0,7,2000.0
140.0,7.666666666666667,1,7,1,7,1500.0
105.0,10.954545454545455,0,2,0,5,1275.0
111.0,9.285714285714286,0,2,0,5,750.0
92.0,13.583710407239819,0,5,1,3,1380.0
80.0,12.945652173913043,0,2,0,3,850.0
95.0,13.583710407239819,0,2,0,4,1500.0
72.0,12.945652173913043,0,2,0,3,750.0
120.0,10.0,0,7,1,5,1150.0
260.0,11.035087719298245,0,2,0,8,1800.0
55.0,9.125,0,2,0,2,465.0
120.0,11.035087719298245,0,2,0,5,940.0
120.0,13.583710407239819,1,2,1,5,1600.0
105.0,13.583710407239819,0,5,0,4,1150.0
95.0,12.945652173913043,0,2,0,5,900.0
70.0,11.035087719298245,0,2,0,4,950.0
100.0,10.954545454545455,0,2,0,5,945.0
90.0,13.583710407239819,0,2,0,3,850.0
85.0,13.583710407239819,0,2,0,2,1400.0
35.0,10.777777777777779,0,1,0,1,550.0
90.0,13.583710407239819,0,2,0,4,950.0
120.0,13.583710407239819,0,2,0,6,1300.0
75.0,12.310344827586206,0,5,0,3,1100.0
53.0,10.954545454545455,0,2,0,2,800.0
126.0,9.88888888888889,1,2,1,5,800.0
40.0,13.583710407239819,0,1,0,1,550.0
85.0,9.0,1,2,0,4,750.0
125.0,6.5,0,7,0,5,850.0
90.0,11.588235294117647,0,2,0,5,925.0
55.0,8.8,1,2,1,3,750.0
75.0,13.583710407239819,0,2,0,4,1200.0
72.0,8.0,0,2,0,3,650.0
65.0,12.945652173913043,0,2,0,3,950.0
57.0,10.954545454545455,0,2,0,4,730.0
80.0,9.947368421052632,0,2,0,4,650.0
180.0,13.583710407239819,1,2,0,7,1800.0
60.0,13.583710407239819,0,5,0,3,800.0
125.0,13.694444444444445,0,2,0,6,1200.0
145.0,8.833333333333334,1,3,1,6,1350.0
71.0,10.954545454545455,0,2,0,4,750.0
79.0,8.5,1,2,0,5,680.0
68.0,13.583710407239819,0,2,0,2,950.0
88.0,10.954545454545455,1,2,0,5,900.0
40.0,13.583710407239819,0,2,0,2,890.0
50.0,13.583710407239819,0,2,0,2,550.0
90.0,12.310344827586206,0,2,0,4,800.0
86.0,12.945652173913043,0,2,0,5,900.0
115.0,9.88888888888889,1,5,1,5,1290.0
77.0,13.694444444444445,0,2,0,2,740.0
111.0,9.5,1,3,0,6,950.0
100.0,13.583710407239819,0,2,0,3,950.0
170.0,13.583710407239819,0,2,0,4,1915.0
85.0,7.6923076923076925,0,2,0,4,650.0
91.0,11.035087719298245,0,2,0,4,950.0
80.0,13.694444444444445,1,2,1,2,950.0
123.0,9.11111111111111,1,2,1,5,954.0
80.0,13.583710407239819,0,2,0,3,1290.0
80.0,9.666666666666666,1,2,1,2,750.0
60.0,13.694444444444445,1,2,1,2,900.0
65.0,8.727272727272727,0,2,0,2,490.0
65.0,11.25,0,2,0,4,750.0
80.0,10.666666666666666,1,2,1,4,880.0
140.0,13.694444444444445,0,2,0,5,1580.0
115.0,10.954545454545455,0,2,0,3,1200.0
131.0,12.945652173913043,1,2,1,5,2100.0
210.0,10.066666666666666,1,7,1,8,1900.0
120.0,11.035087719298245,0,2,0,5,993.0
90.0,11.588235294117647,1,2,0,5,900.0
65.0,9.5,1,4,0,4,650.0
110.0,11.035087719298245,0,2,0,6,880.0
120.0,13.583710407239819,0,2,0,6,1200.0
184.0,13.583710407239819,0,2,0,7,3000.0
187.0,5.5,1,3,1,6,1000.0
70.0,12.310344827586206,0,2,0,3,950.0
129.0,9.947368421052632,1,2,0,6,1200.0
65.0,13.583710407239819,0,1,0,1,890.0
120.0,12.945652173913043,0,2,0,5,1350.0
300.0,7.2,1,7,1,9,2500.0
105.0,9.11111111111111,0,2,0,4,1200.0
80.0,11.035087719298245,0,2,0,2,850.0
80.0,13.583710407239819,0,2,0,3,1290.0
125.0,11.588235294117647,0,2,0,5,1350.0
80.0,12.945652173913043,0,2,0,4,1050.0
71.0,12.945652173913043,0,2,0,2,965.0
138.0,13.694444444444445,0,2,0,6,1100.0
68.0,13.583710407239819,0,5,0,3,1500.0
100.0,13.583710407239819,0,2,0,4,1100.0
140.0,12.310344827586206,1,2,1,5,1400.0
45.0,9.125,0,2,0,2,650.0
77.0,12.945652173913043,1,2,0,5,950.0
116.0,9.11111111111111,1,2,1,5,960.0
88.0,9.11111111111111,0,2,0,4,610.0
60.0,10.666666666666666,0,1,1,1,790.0
125.0,11.035087719298245,1,2,0,4,950.0
70.0,9.5,1,2,0,3,750.0
113.0,9.947368421052632,1,2,0,6,1200.0
150.0,13.694444444444445,0,2,0,5,1200.0
65.0,10.777777777777779,0,2,1,3,725.0
170.0,13.694444444444445,1,5,0,4,2400.0
185.0,13.694444444444445,0,2,0,8,1500.0
110.0,13.583710407239819,0,2,0,3,1300.0
112.0,10.954545454545455,1,2,0,5,1600.0
130.0,12.945652173913043,0,2,0,5,1400.0
150.0,8.0,0,3,0,6,850.0
88.0,12.945652173913043,0,2,0,5,995.0
86.0,9.11111111111111,0,2,0,4,680.0
72.0,13.694444444444445,1,5,1,2,900.0
85.0,7.0,0,2,0,3,600.0
50.0,12.222222222222221,1,2,1,2,650.0
180.0,13.694444444444445,0,5,0,4,2100.0
130.0,13.583710407239819,0,2,0,4,1600.0
110.0,13.694444444444445,0,2,0,5,1300.0
140.0,9.947368421052632,1,2,0,6,1200.0
170.0,8.833333333333334,1,7,1,5,1200.0
80.0,7.5,0,2,0,3,650.0
75.0,12.945652173913043,0,2,0,4,800.0
50.0,13.583710407239819,0,2,0,2,700.0
85.0,13.583710407239819,0,5,0,5,1250.0
70.0,12.945652173913043,0,2,0,3,1000.0
183.0,7.6923076923076925,1,7,0,7,1500.0
125.0,11.588235294117647,0,2,0,6,1200.0
80.0,12.945652173913043,0,2,0,4,1170.0
85.0,9.11111111111111,0,2,0,5,750.0
120.0,11.035087719298245,0,2,0,4,1300.0
55.0,11.25,0,2,0,2,675.0
43.0,13.0,1,1,1,1,550.0
199.0,10.066666666666666,1,7,1,7,1300.0
80.0,9.666666666666666,1,2,0,3,800.0
93.0,9.0,0,2,0,5,675.0
160.0,11.035087719298245,0,2,0,6,1950.0
42.0,13.583710407239819,0,2,0,2,800.0
80.0,12.945652173913043,0,2,0,3,900.0
80.0,13.583710407239819,0,2,0,4,1100.0
80.0,13.583710407239819,0,2,0,4,1350.0
284.0,10.066666666666666,1,7,1,6,3950.0
40.0,10.666666666666666,1,1,1,1,500.0
56.0,8.0,0,2,0,4,550.0
103.0,12.310344827586206,0,2,0,4,1110.0
55.0,13.694444444444445,1,2,1,2,950.0
230.0,8.8,1,6,1,8,1200.0
58.0,10.954545454545455,1,2,0,4,950.0
60.0,13.694444444444445,1,2,1,2,900.0
120.0,9.0,1,2,0,5,900.0
93.0,8.0,0,2,0,5,780.0
71.0,12.945652173913043,0,2,0,4,760.0
60.0,10.0,0,2,0,4,550.0
80.0,12.945652173913043,0,2,0,4,1050.0
122.0,12.945652173913043,1,2,0,6,1200.0
95.0,9.11111111111111,0,5,0,6,900.0
449.0,12.142857142857142,1,7,1,8,5300.0
97.0,6.5,0,2,0,4,650.0
163.0,13.583710407239819,0,2,0,6,1400.0
187.0,13.583710407239819,1,2,0,8,1700.0
108.0,12.945652173913043,1,2,0,5,1300.0
100.0,13.694444444444445,1,2,1,3,1500.0
102.0,6.217391304347826,0,2,0,5,800.0
50.0,11.588235294117647,0,2,0,3,800.0
75.0,13.694444444444445,0,2,0,4,850.0
65.0,10.954545454545455,0,2,0,3,650.0
108.0,9.6,1,2,1,5,900.0
55.0,13.583710407239819,0,2,0,2,750.0
140.0,11.588235294117647,0,5,1,4,1450.0
120.0,13.694444444444445,1,2,0,6,950.0
92.0,9.6,1,2,1,4,950.0
147.0,13.694444444444445,1,2,0,8,1300.0
88.0,10.954545454545455,0,2,0,3,980.0
50.0,7.6923076923076925,0,3,0,2,500.0
50.0,13.583710407239819,0,2,0,3,650.0
78.0,12.945652173913043,0,2,0,3,720.0
322.0,10.066666666666666,1,7,1,10,3500.0
45.0,13.583710407239819,0,5,0,2,600.0
75.0,13.583710407239819,0,2,0,4,950.0
124.0,8.727272727272727,0,2,0,6,750.0
150.0,4.0,0,3,0,3,650.0
90.0,11.035087719298245,0,2,0,3,1200.0
80.0,13.694444444444445,0,2,0,3,850.0
110.0,13.694444444444445,0,2,0,5,1100.0
115.0,13.583710407239819,0,2,0,5,1500.0
137.0,13.694444444444445,1,2,1,3,1500.0
46.0,13.694444444444445,0,2,0,2,650.0
250.0,9.0,1,7,1,6,2000.0
91.0,13.583710407239819,0,4,0,5,1100.0
70.0,13.583710407239819,0,2,0,3,740.0
119.0,12.945652173913043,1,2,1,4,1700.0
130.0,13.583710407239819,0,3,0,5,2700.0
60.0,9.11111111111111,0,2,0,3,825.0
80.0,8.2,1,2,0,4,750.0
90.0,13.583710407239819,0,2,0,4,1500.0
123.0,13.583710407239819,0,2,0,5,950.0
50.0,12.222222222222221,1,2,1,2,650.0
59.0,7.6923076923076925,1,5,0,2,550.0
101.0,13.694444444444445,1,2,0,5,1200.0
70.0,10.777777777777779,1,2,1,3,770.0
61.0,13.583710407239819,0,2,0,4,1250.0
120.0,6.217391304347826,0,7,0,5,500.0
108.0,12.945652173913043,0,2,0,2,650.0
85.0,13.583710407239819,1,5,0,4,1300.0
50.0,13.583710407239819,0,2,0,2,1100.0
35.0,13.583710407239819,0,5,0,2,650.0
177.0,13.583710407239819,0,2,0,6,1800.0
58.0,10.954545454545455,0,2,0,3,650.0
60.0,13.583710407239819,0,2,0,4,780.0
70.0,13.583710407239819,0,2,0,2,880.0
60.0,13.583710407239819,0,5,0,3,950.0
220.0,13.583710407239819,0,2,0,7,2500.0
69.0,12.945652173913043,0,2,0,3,880.0
80.0,7.6923076923076925,0,3,0,4,650.0
45.0,9.0,0,2,0,2,700.0
57.0,10.666666666666666,0,2,1,2,630.0
326.0,12.142857142857142,1,6,1,9,4500.0
98.0,12.945652173913043,1,2,0,5,1200.0
45.0,13.583710407239819,0,2,0,3,850.0
236.0,8.333333333333334,0,7,0,5,1000.0
70.0,6.217391304347826,0,2,0,3,500.0
120.0,9.11111111111111,1,2,1,5,982.0
68.0,13.694444444444445,1,2,1,2,950.0
65.0,13.583710407239819,0,5,0,2,950.0
93.0,9.11111111111111,1,2,1,3,725.0
247.0,9.5,1,7,1,8,1500.0
60.0,10.666666666666666,1,2,1,2,800.0
70.0,11.035087719298245,0,2,0,4,1100.0
242.0,13.583710407239819,1,3,0,8,2500.0
153.0,13.583710407239819,0,2,0,5,1200.0
50.0,12.222222222222221,1,2,1,2,680.0
54.0,11.25,0,2,0,4,655.0
95.0,11.588235294117647,1,2,0,4,820.0
75.0,13.694444444444445,0,2,0,3,890.0
614.0,7.2,1,7,0,9,4500.0
98.0,10.666666666666666,0,2,1,5,935.0
109.0,11.588235294117647,0,5,1,4,1350.0
65.0,10.954545454545455,0,2,0,4,645.0
75.0,12.945652173913043,0,2,0,3,1000.0
120.0,13.583710407239819,0,2,0,2,2000.0
380.0,6.25,1,7,1,9,2300.0
77.0,12.945652173913043,1,2,0,4,1000.0
75.0,8.333333333333334,0,3,0,4,650.0
90.0,12.945652173913043,0,2,0,5,1300.0
85.0,8.4,0,2,0,4,600.0
73.0,12.945652173913043,0,2,0,5,990.0
110.0,13.583710407239819,0,5,0,4,1350.0
110.0,11.588235294117647,1,5,1,4,1350.0
130.0,6.217391304347826,0,3,0,4,600.0
65.0,13.583710407239819,0,2,0,4,1000.0
60.0,13.583710407239819,0,2,0,2,850.0
150.0,13.694444444444445,0,2,0,5,1200.0
80.0,13.583710407239819,0,2,0,4,850.0
80.0,6.217391304347826,1,2,0,2,599.0
115.0,12.310344827586206,0,2,0,5,1100.0
100.0,13.694444444444445,1,5,0,4,2400.0
93.0,13.583710407239819,0,2,0,4,970.0
81.0,9.125,0,2,0,4,530.0
91.0,13.694444444444445,1,4,0,5,1500.0
65.0,12.310344827586206,1,2,0,3,850.0
110.0,12.310344827586206,0,2,0,4,750.0
90.0,10.25,1,2,1,5,800.0
40.0,11.035087719298245,0,1,0,1,800.0
290.0,8.0,1,7,1,7,1800.0
70.0,11.588235294117647,0,2,0,3,850.0
92.0,10.666666666666666,1,2,0,5,960.0
102.0,11.588235294117647,1,2,0,5,1100.0
60.0,13.583710407239819,0,2,0,3,1000.0
75.0,13.583710407239819,0,2,0,3,1600.0
120.0,12.945652173913043,0,2,0,4,2500.0
98.0,10.666666666666666,1,5,1,5,1025.0
70.0,9.5,1,2,1,4,750.0
90.0,11.588235294117647,1,2,1,4,1000.0
127.0,9.5,1,5,1,5,1190.0
350.0,6.25,1,6,1,8,1999.0
76.0,13.583710407239819,0,2,0,2,1000.0
419.0,12.142857142857142,1,7,1,11,5000.0
125.0,13.694444444444445,0,2,0,5,1200.0
110.0,10.954545454545455,0,2,0,6,800.0
206.0,10.666666666666666,1,2,0,8,1250.0
70.0,13.583710407239819,0,2,0,3,875.0
85.0,11.035087719298245,0,2,0,2,850.0
65.0,11.588235294117647,0,2,0,3,800.0
93.0,9.0,0,2,0,5,675.0
95.0,13.694444444444445,0,2,0,5,950.0
50.0,13.583710407239819,0,2,0,2,650.0
135.0,11.035087719298245,0,2,0,5,2000.0
55.0,10.666666666666666,0,2,1,2,625.0
70.0,13.583710407239819,0,5,0,2,1375.0
112.0,13.694444444444445,1,2,0,5,1650.0
75.0,12.310344827586206,1,2,0,3,750.0
249.0,13.583710407239819,1,5,0,8,4950.0
92.0,10.666666666666666,0,2,0,5,880.0
69.0,12.945652173913043,0,2,0,3,1000.0
175.0,11.588235294117647,0,2,0,7,1550.0
178.0,12.310344827586206,1,2,0,6,1800.0
142.0,8.2,1,3,0,7,1300.0
60.0,8.333333333333334,0,2,0,3,650.0
80.0,9.5,1,2,1,4,750.0
90.0,9.947368421052632,0,2,0,6,800.0
121.0,12.945652173913043,0,2,0,6,1000.0
358.0,11.035087719298245,1,2,0,9,2600.0
371.0,12.142857142857142,1,6,1,9,4000.0
110.0,9.947368421052632,1,2,0,4,1200.0
106.0,12.310344827586206,0,2,0,4,1200.0
60.0,13.694444444444445,1,2,0,2,900.0
40.0,13.694444444444445,0,2,0,2,650.0
60.0,13.583710407239819,0,2,0,2,745.0
121.0,11.035087719298245,0,2,0,5,1200.0
145.0,9.11111111111111,1,5,0,4,750.0
85.0,12.310344827586206,0,2,0,3,1000.0
125.0,11.588235294117647,0,2,0,6,1300.0
50.0,9.11111111111111,0,2,0,2,550.0
170.0,13.583710407239819,0,5,0,5,3000.0
121.0,13.583710407239819,0,2,0,4,1550.0
65.0,11.588235294117647,0,2,0,3,750.0
55.0,13.583710407239819,0,2,0,2,850.0
85.0,9.11111111111111,0,2,0,6,950.0
110.0,11.035087719298245,0,2,0,4,900.0
83.0,10.777777777777779,1,5,0,3,1200.0
75.0,9.11111111111111,0,2,0,4,700.0
121.0,11.035087719298245,0,2,0,5,1200.0
115.0,9.11111111111111,1,2,1,5,987.0
140.0,13.583710407239819,0,2,0,6,1300.0
110.0,10.0,1,2,1,5,830.0
668.0,10.066666666666666,1,7,1,8,4000.0
110.0,13.583710407239819,0,2,0,4,1100.0
40.0,12.945652173913043,0,2,0,2,700.0
148.0,10.066666666666666,0,5,1,5,2200.0
90.0,10.666666666666666,0,2,0,3,750.0
251.0,10.066666666666666,1,7,1,6,2500.0
49.0,10.666666666666666,1,2,1,2,600.0
100.0,12.945652173913043,0,2,0,5,990.0
98.0,9.947368421052632,0,2,0,5,850.0
